Category,Relation,Variant,Scale Axis,Batch Size,Network,Trace Length,Dataset Size,Merkle Depth,Aggregation T,Proof Backed,Status,Prove Time (s),Verify Time (s),Proof Size (bytes),Cycle Count,Prover Gas,Peak RSS (MB),Max RSS (MB),Prover,Measurement Host,Backend Version,SP1 Version,Git Commit,Case ID,Public Inputs SHA256,Witness Schema SHA256,Metrics Source,Notes
network_scaling,training_update,network_small,network,,small,,,,,False,not_supported_current_backend,,,,,,,,,,,,,training_update_network_small,,,,current SP1 proof-backed relations are canonical tiny vectors only
dataset_merkle_scaling,merkle_membership,dataset_1000,dataset_size,,,,1000,10,,True,proof_verified,0.925883929,0.12542975,2782933,357965,,125.172,125.172,cuda,,0.1.0,6.1.0,68cfd323236a0a8f334d79f9d84ac510957c6e45,merkle_membership_dataset_1000,5342e72244f6e3cca646ea0369e543bdc408dc931419de7c8bb769b03b3b1820,c44ef28f9f74d9b1440e04252379e7335f9a6affabd32c12dc553340542db262,artifacts/reports/provenance/sp1/merkle_membership_dataset_1k/metrics.json,dataset-size/Merkle-depth SP1 proof scaling row
dataset_merkle_scaling,merkle_membership,dataset_10000,dataset_size,,,,10000,14,,True,proof_verified,0.99340296,0.126355242,2783958,470318,,125.172,125.172,cuda,,0.1.0,6.1.0,68cfd323236a0a8f334d79f9d84ac510957c6e45,merkle_membership_dataset_10000,9b9e46f17049e6e7dbe334070564644711395d0c682fb466a67a0ed3c6259224,c44ef28f9f74d9b1440e04252379e7335f9a6affabd32c12dc553340542db262,artifacts/reports/provenance/sp1/merkle_membership_dataset_10k/metrics.json,dataset-size/Merkle-depth SP1 proof scaling row
dataset_merkle_scaling,merkle_membership,dataset_50000,dataset_size,,,,50000,16,,True,proof_verified,0.983866823,0.125704957,2784470,526578,,125.176,125.176,cuda,,0.1.0,6.1.0,68cfd323236a0a8f334d79f9d84ac510957c6e45,merkle_membership_dataset_50000,7b81682d8acdfbaf1529d63512606c8fa33b8ab4b7effb9c062f1d1123c7b815,c44ef28f9f74d9b1440e04252379e7335f9a6affabd32c12dc553340542db262,artifacts/reports/provenance/sp1/merkle_membership_dataset_50k/metrics.json,dataset-size/Merkle-depth SP1 proof scaling row
dataset_merkle_scaling,merkle_membership,dataset_100000,dataset_size,,,,100000,17,,True,proof_verified,0.985963135,0.125770086,2784983,554100,,125.176,125.176,cuda,,0.1.0,6.1.0,68cfd323236a0a8f334d79f9d84ac510957c6e45,merkle_membership_dataset_100000,bca97b40627f2575f46be62aafd315cfe5ad4a5d47dddeab21ee38a4e88e5e38,c44ef28f9f74d9b1440e04252379e7335f9a6affabd32c12dc553340542db262,artifacts/reports/provenance/sp1/merkle_membership_dataset_100k/metrics.json,dataset-size/Merkle-depth SP1 proof scaling row
recursive_aggregation,native_flat_recursive_t16,true_recursive_native,recursive_aggregation,,tiny,,,,16,True,proof_verified,189.716878495,0.053988435,1274074,422706047,,,,cuda,,0.1.0,6.1.0,83e5f305703f0ac5c85b213e73fc7dc3fce95985,native_flat_recursive_t16,11febdd06138b83ca8b9925d773e215d4cee98413ece64153bbfc76dbc2adf89,51f963259c42534cdf977e13b9c7e98dd36ae8593936dbdfbecd6319325af3ec,artifacts/reports/provenance/sp1/training_aggregation_recursive_t16/metrics.json,SP1 true recursive aggregation; native_sp1 child training-fragment proofs are verified inside the aggregate guest.; child proofs verified inside the aggregate SP1 guest; requires a CUDA prover; peak RSS unavailable in reused compact provenance
recursive_aggregation,native_flat_recursive_t32,true_recursive_native,recursive_aggregation,,tiny,,,,32,True,proof_verified,392.116108613,0.059485475,1274074,842030244,,,,cuda,,0.1.0,6.1.0,83e5f305703f0ac5c85b213e73fc7dc3fce95985,native_flat_recursive_t32,81575fa39c41f96641b4743bd8c1b31ca11b6bc40b97b7e341888e505836b0d8,51f963259c42534cdf977e13b9c7e98dd36ae8593936dbdfbecd6319325af3ec,artifacts/reports/provenance/sp1/training_aggregation_recursive_t32/metrics.json,SP1 true recursive aggregation; native_sp1 child training-fragment proofs are verified inside the aggregate guest.; child proofs verified inside the aggregate SP1 guest; requires a CUDA prover; peak RSS unavailable in reused compact provenance
recursive_aggregation,native_flat_recursive_t64,true_recursive_native,recursive_aggregation,,tiny,,,,64,True,proof_verified,770.648105341,0.053907619,1274074,1683536040,,,,cuda,,0.1.0,6.1.0,83e5f305703f0ac5c85b213e73fc7dc3fce95985,native_flat_recursive_t64,6124d8baa01798d9bc2e22dc69ebd00a4cb345cbc122a041d6013dee3d336674,51f963259c42534cdf977e13b9c7e98dd36ae8593936dbdfbecd6319325af3ec,artifacts/reports/provenance/sp1/training_aggregation_recursive_t64/metrics.json,SP1 true recursive aggregation; native_sp1 child training-fragment proofs are verified inside the aggregate guest.; child proofs verified inside the aggregate SP1 guest; requires a CUDA prover; peak RSS unavailable in reused compact provenance
recursive_aggregation,binary_tree_native_t16,binary_native_recursive,recursive_aggregation,,tiny,,,,16,True,proof_verified,181.695961217,0.05394932,1274640,421922727,,,,cuda,,0.1.0,6.1.0,83e5f305703f0ac5c85b213e73fc7dc3fce95985,binary_tree_native_t16,ad30417172f450cc112926cc5c4a4c26c3a8ecc259e7eaaa40525643c1af5d3b,51f963259c42534cdf977e13b9c7e98dd36ae8593936dbdfbecd6319325af3ec,artifacts/reports/provenance/sp1/training_aggregation_binary_native_t16/metrics.json,SP1 true recursive aggregation; native_sp1 child training-fragment proofs are verified inside the aggregate guest.; binary-tree topology; child proofs verified inside the aggregate SP1 guest; peak RSS unavailable in reused compact provenance
recursive_aggregation,groth16_recursive_t16,groth16_child_proofs,recursive_aggregation,,tiny,,,,16,True,proof_verified,1590.207291902,67.978753114,1469721875,6189380355,,,,cuda,,0.1.0,6.1.0,83e5f305703f0ac5c85b213e73fc7dc3fce95985,groth16_recursive_t16,91f98f6dbcf0c1cb9d5021b2fd660ad757cc253ac3b45aa6a05cb813d27826c1,51f963259c42534cdf977e13b9c7e98dd36ae8593936dbdfbecd6319325af3ec,artifacts/reports/provenance/sp1/training_aggregation_groth16_t16/metrics.json,SP1 true recursive aggregation; groth16_bn254 child training-fragment proofs are verified inside the aggregate guest.; Groth16 child proofs verified in-guest; 20x the cycles of native child verification; PLONK child proofs are untested; peak RSS unavailable in reused compact provenance
recursive_aggregation,binary_tree_native_t1248_cartpole,whole_run_cartpole,recursive_aggregation,,"[4, 64, 2]",,,,1248,True,proof_verified,191.782642624,0.054242549,1274654,422411631,,,,cuda,,0.1.0,6.1.0,83e5f305703f0ac5c85b213e73fc7dc3fce95985,binary_tree_native_t1248_cartpole,8de77e08a67e29da6f11c7f62c4e09045d17af0dc904a11c639664f563ad3408,51f963259c42534cdf977e13b9c7e98dd36ae8593936dbdfbecd6319325af3ec,artifacts/reports/provenance/sp1/training_aggregation_binary_native_t1248_cartpole/metrics.json,SP1 true recursive aggregation; native_sp1 child training-fragment proofs are verified inside the aggregate guest.; one root proof over the entire 1248-step run; dataset_root equals the committed cartpole-expert-v2 merkle_root; peak RSS unavailable in reused compact provenance
recursive_aggregation,binary_tree_native_t1248_lunarlander,whole_run_lunarlander,recursive_aggregation,,"[8, 64, 4]",,,,1248,True,proof_verified,192.747734871,0.053971765,1274654,422387142,,,,cuda,,0.1.0,6.1.0,83e5f305703f0ac5c85b213e73fc7dc3fce95985,binary_tree_native_t1248_lunarlander,0394031ffd8ab7df6570fcd9ffe60f9a3ed6d2a9b436b5413717e638783f26ee,51f963259c42534cdf977e13b9c7e98dd36ae8593936dbdfbecd6319325af3ec,artifacts/reports/provenance/sp1/training_aggregation_binary_native_t1248_lunarlander/metrics.json,SP1 true recursive aggregation; native_sp1 child training-fragment proofs are verified inside the aggregate guest.; one root proof over the entire 1248-step run; dataset_root equals the committed lunarlander-expert-v1 merkle_root; peak RSS unavailable in reused compact provenance
recursive_aggregation,binary_tree_native_t4992_lunarlander_random,whole_run_lunarlander_random,recursive_aggregation,,"[8, 64, 4]",,,,4992,True,proof_verified,193.05798728,0.053897183,1274654,422401017,,,,cuda,,0.1.0,6.1.0,83e5f305703f0ac5c85b213e73fc7dc3fce95985,binary_tree_native_t4992_lunarlander_random,4ff362b0b23f2d4d10957d73cd2a10f9f359aa664d5243afa745228acdcad813,51f963259c42534cdf977e13b9c7e98dd36ae8593936dbdfbecd6319325af3ec,artifacts/reports/provenance/sp1/training_aggregation_binary_native_t4992_lunarlander_random/metrics.json,SP1 true recursive aggregation; native_sp1 child training-fragment proofs are verified inside the aggregate guest.; one root proof over the entire 4992-step run; dataset_root equals the committed lunarlander-random-v1 merkle_root; peak RSS unavailable in reused compact provenance
